,id,name,class,mark,gender,passed,grade
0,1,John Deo,Four,75,female,True,B
1,2,Max Ruin,Three,85,male,True,A
2,3,Arnold,Three,55,male,False,D
3,4,Krish Star,Four,60,female,True,C
4,5,John Mike,Four,60,female,True,C
5,6,Alex John,Four,55,male,False,D
6,7,My John Rob,Fifth,78,male,True,B
7,8,Asruid,Five,85,male,True,A
8,9,Tes Qry,Six,78,,True,B
9,10,Big John,Four,55,female,False,D
10,11,Ronald,Six,89,female,True,A
11,12,Recky,Six,94,female,True,A
12,13,Kty,Seven,88,female,True,A
13,14,Bigy,Seven,88,female,True,A
14,15,Tade Row,,88,male,True,A
15,16,Gimmy,Four,88,male,True,A
16,17,Tumyu,Six,54,male,False,D
17,18,Honny,Five,75,male,True,B
18,19,Tinny,Nine,18,male,False,D
19,20,Jackly,Nine,65,female,True,C
20,21,Babby John,Four,69,female,True,C
21,22,Reggid,Seven,55,female,False,D
22,23,Herod,Eight,79,male,True,B
23,24,Tiddy Now,Seven,78,male,True,B
24,25,Giff Tow,Seven,88,male,True,A
25,26,Crelea,Seven,79,male,True,B
26,27,,Three,81,,True,B
27,28,Rojj Base,Seven,86,female,True,A
28,29,Tess Played,Seven,55,male,False,D
29,30,Reppy Red,Six,79,female,True,B
30,31,Marry Toeey,Four,88,male,True,A
31,32,Binn Rott,Seven,90,female,True,A
32,33,Kenn Rein,Six,96,female,True,A
33,34,Gain Toe,Seven,69,male,True,C
34,35,Rows Noump,Six,88,female,True,A
